1	1.936221
2	7.63153
3	17.05855
4	30.20752
5	47.0728
6	67.65056
7	91.93802
8	119.933
9	151.6338
10	187.0389
11	226.1472
12	268.9575
13	315.469
14	365.6808
15	419.5923
16	477.2028
17	538.5117
18	603.5184
19	672.2226
20	744.6237
21	820.7214
22	900.5152
23	984.0048
24	1071.19
25	1162.07
26	1256.645
27	1354.915
28	1456.879
29	1562.537
30	1671.889
31	1784.934
32	1901.673
33	2022.105
34	2146.231
35	2274.049
36	2405.559
37	2540.763
38	2679.658
39	2822.246
40	2968.525
41	3118.497
42	3272.16
43	3429.515
44	3590.562
45	3755.299
46	3923.728
47	4095.849
48	4271.66
49	4451.162
50	4634.355
51	4821.238
52	5011.813
53	5206.077
54	5404.032
55	5605.678
56	5811.013
57	6020.039
58	6232.755
59	6449.161
60	6669.257
61	6893.042
62	7120.517
63	7351.682
64	7586.537
65	7825.081
66	8067.315
67	8313.238
68	8562.85
69	8816.152
70	9073.142
71	9333.822
72	9598.191
73	9866.249
74	10138
75	10413.43
76	10692.56
77	10975.37
78	11261.87
79	11552.06
80	11845.94
81	12143.51
82	12444.77
83	12749.71
84	13058.35
85	13370.67
86	13686.68
87	14006.38
88	14329.77
89	14656.84
90	14987.61
91	15322.06
92	15660.2
93	16002.02
94	16347.54
95	16696.74
96	17049.64
97	17406.22
98	17766.48
99	18130.44
100	18498.08
101	18869.41
102	19244.43
103	19623.14
104	20005.53
105	20391.61
106	20781.38
107	21174.84
108	21571.98
109	21972.82
110	22377.33
111	22785.54
112	23197.44
113	23613.02
114	24032.29
115	24455.24
116	24881.88
117	25312.22
118	25746.23
119	26183.94
120	26625.33
121	27070.41
122	27519.18
123	27971.63
124	28427.77
125	28887.6
126	29351.11
127	29818.31
128	30289.2
129	30763.78
130	31242.04
131	31723.99
132	32209.63
133	32698.95
134	33191.96
135	33688.65
136	34189.04
137	34693.11
138	35200.86
139	35712.31
140	36227.44
141	36746.26
142	37268.76
143	37794.95
144	38324.83
145	38858.39
146	39395.64
147	39936.58
148	40481.2
149	41029.51
150	41581.5
