24	991	-7	113	463	105.577845	214.266576
58	6664	-10	650	2714	275.212759	-483.705390
11	169	-6	28	93	28.451536	-34.012132
11	207	-12	9	112	267.287022	-31.655080
134	39505	-14	6674	11282	218.831808	94.021918
53	5917	-13	1013	1796	-43.230860	307.369084
20	695	-8	59	341	-197.815591	-444.560522
103	20508	-8	3054	7555	-1756.475164	1239.180267
11	196	-12	34	87	86.062487	10.475836
148	45307	-10	2401	19503	336.379099	-388.594528
144	30954	-3	8182	12554	269.645469	191.680659
142	42593	-12	4278	15886	131.640609	25.774789
52	3877	-3	1072	1632	579.887083	-2.480708
131	36800	-13	7038	10123	-330.114587	1.044579
75	12237	-14	669	4956	-725.384783	-46.367043
146	31098	-3	7020	14296	133.781915	63.557027
105	17119	-4	4579	6446	85.206447	150.984287
98	18749	-8	1045	8559	-879.329648	1183.714123
75	11040	-10	2389	3236	152.040588	-231.464398
72	10893	-13	151	5033	26.936893	-84.621297
46	3894	-9	848	1268	723.940388	-542.131054
121	25711	-5	3206	11435	7.964034	-1469.536637
116	27921	-11	5639	7817	26.851887	-315.311975
42	3545	-11	547	1217	-346.319872	-1025.705678
14	352	-14	70	126	606.812935	716.839282
40	3049	-9	255	1345	-416.228299	727.449629
132	29959	-5	2582	14842	168.849332	367.874563
15	425	-11	40	185	137.097867	-1030.631786
33	1723	-4	146	943	538.956040	1451.592265
125	33492	-13	6467	9158	-267.523495	226.633456
10	73	-9	66	34	-42.428032	969.941813
39	2437	-5	370	1151	68.735216	-153.052862
118	24752	-6	4679	9245	34.794519	-305.050948
147	36965	-4	3854	17755	1528.729204	1426.903718
122	27860	-7	6141	8743	-2166.609260	104.059761
115	21646	-4	1163	12062	352.888674	281.622647
86	9914	-3	3075	4321	-46.752000	28.758070
48	3666	-4	706	1598	-2402.436488	188.568416
69	9508	-10	927	3834	-61.460965	-205.731368
109	24899	-12	4614	7267	255.852457	59.289337
62	6091	-4	1501	2343	997.970106	-432.575749
125	34225	-13	5598	10027	-798.432896	-652.848006
25	1034	-6	97	528	155.949899	348.777469
141	33640	-5	7202	12679	-322.078082	137.457200
29	1625	-10	285	556	-73.899052	-1217.351400
74	10365	-8	1562	3914	-33.803288	-206.262296
87	11667	-3	1437	6132	-471.259997	526.613371
48	3831	-5	470	1834	88.810094	541.388133
92	14499	-5	2012	6452	232.244718	-578.433197
138	41840	-13	5521	13523	-17.520945	-554.835497
136	40862	-14	7771	10725	-280.546687	497.926587
24	1158	-13	66	510	-928.427243	118.856696
113	26955	-13	5016	7753	-75.345295	-10.508573
18	593	-10	42	282	1012.065695	246.528342
105	22444	-10	4596	6429	291.070662	-649.373646
137	37902	-9	1025	17744	522.990164	1070.835258
84	11395	-4	558	6498	-490.880590	54.102769
28	1358	-6	100	684	429.649115	-1860.524074
131	35945	-11	6778	10383	773.126753	-851.015161
51	5089	-10	589	2012	-62.844280	106.704137
15	401	-12	45	180	34.535865	-7.118330
51	5309	-12	1011	1590	-37.546240	428.414551
50	4602	-8	37	2463	215.662698	705.875860
65	7466	-6	1321	2904	-610.354029	-519.311738
46	3644	-7	731	1385	122.647036	47.959349
18	551	-9	111	213	423.884629	-500.569276
38	3054	-14	279	1165	-233.569110	230.217185
105	24279	-14	4695	6330	-185.306602	-689.682394
126	33516	-11	5099	10777	526.688749	1000.875911
63	5905	-4	1444	2525	-148.117514	16.332793
33	2108	-11	436	653	-294.338684	-556.794109
147	44318	-10	3488	18121	13.644308	-310.203266
74	8359	-3	2283	3193	-8.520395	-1328.355381
70	10387	-13	1778	3122	274.146133	-288.380448
76	11076	-9	1137	4639	110.030763	-101.363148
52	5556	-12	885	1819	86.949538	237.031484
106	19328	-5	2141	9095	-529.515548	174.002527
73	8760	-5	2233	3096	1042.616466	27.826383
73	10385	-10	1586	3743	254.655510	-13.705613
119	23598	-4	703	13458	-377.247392	-1382.007134
54	5412	-8	1152	1764	-22.060244	-234.438588
26	987	-4	235	441	-1507.255416	208.162610
49	4159	-8	659	1742	-13.743104	-9.302258
109	20921	-5	645	11236	949.550464	-713.109439
113	23553	-7	548	12221	112.683307	350.051259
85	14063	-8	2592	4633	-77.272948	1407.309561
111	19452	-4	1834	10487	-141.446009	-106.439461
143	39873	-9	8666	11783	180.128400	137.128896
140	38917	-9	2930	16670	233.056307	-38.049784
27	1430	-13	295	434	89.604305	1018.890868
90	13153	-4	3086	5014	297.066307	709.511310
10	126	-4	24	76	-188.651499	-513.466465
76	12127	-12	1281	4495	-721.696939	-197.188991
97	19848	-12	2228	7181	-277.210539	178.713673
133	35435	-10	7454	10235	-322.510074	152.349242
35	2276	-10	392	833	90.793204	-10.706754
143	41294	-9	1364	19085	-91.430739	-1228.725734
136	29205	-3	4886	13610	163.764098	998.251897
5	27	-5	8	17	-109.377138	716.199819
95	19547	-13	1590	7435	297.303888	-537.571828
123	31453	-11	5835	9294	-1100.503607	-176.042870
99	18707	-8	2893	6908	-117.700756	-329.335864
33	1711	-4	268	821	-288.346249	-352.626126
51	5047	-9	90	2511	768.783246	-1228.259413
134	34998	-8	7334	10622	-399.915078	889.454030
65	7154	-5	1428	2797	-115.564869	874.585654
140	43188	-13	5882	13718	319.084979	-866.040007
20	658	-7	141	259	-290.197882	-828.856626
49	4167	-6	470	1931	230.725160	359.968520
106	24250	-13	925	10311	-487.785468	25.812581
5	31	-8	8	17	568.566551	-37.160713
70	9460	-10	551	4349	-2.123158	-12.846473
42	3345	-10	588	1176	-298.017884	125.231298
76	12006	-12	2290	3486	-143.063561	-301.624161
69	9591	-10	345	4416	-547.773441	-652.776863
85	15386	-14	3076	4149	97.090801	78.725242
86	16038	-14	2986	4410	-7.115311	167.233681
8	71	-13	30	34	-152.954976	16.973947
132	27068	-3	5409	12015	817.988384	387.041415
6	42	-6	9	27	-206.392363	-63.393613
65	8683	-11	819	3406	-1411.998351	-15.435338
