1	178.1553
2	143.4352
3	112.5467
4	85.4321
5	62.06702
6	42.43777
7	26.53545
8	14.35372
9	5.887716
10	1.133567
11	0.08804729
12	2.748399
13	9.112204
14	19.17731
15	32.94175
16	50.40373
17	71.56158
18	96.41373
19	124.9587
20	157.1951
21	193.1215
22	232.7367
23	276.0395
24	323.0285
25	373.7027
26	428.0608
27	486.1018
28	547.8245
29	613.228
30	682.311
31	755.0726
32	831.5118
33	911.6275
34	995.4187
35	1082.885
36	1174.024
37	1268.836
38	1367.319
39	1469.474
40	1575.298
41	1684.791
42	1797.951
43	1914.779
44	2035.273
45	2159.432
46	2287.255
47	2418.741
48	2553.89
49	2692.7
50	2835.171
51	2981.302
52	3131.092
53	3284.539
54	3441.644
55	3602.405
56	3766.822
57	3934.893
58	4106.618
59	4281.996
60	4461.025
61	4643.706
62	4830.037
63	5020.018
64	5213.647
65	5410.924
66	5611.848
67	5816.418
68	6024.633
69	6236.493
70	6451.997
71	6671.143
72	6893.931
73	7120.361
74	7350.43
75	7584.14
76	7821.488
77	8062.474
78	8307.097
79	8555.357
80	8807.252
81	9062.782
82	9321.946
83	9584.743
84	9851.173
85	10121.23
86	10394.93
87	10672.25
88	10953.2
89	11237.78
90	11525.99
91	11817.82
92	12113.28
93	12412.37
94	12715.08
95	13021.41
96	13331.37
97	13644.95
98	13962.15
99	14282.97
100	14607.41
101	14935.47
102	15267.15
103	15602.45
104	15941.36
105	16283.9
106	16630.04
107	16979.8
108	17333.18
109	17690.17
110	18050.77
111	18414.98
112	18782.81
113	19154.24
114	19529.29
115	19907.94
116	20290.2
117	20676.07
118	21065.55
119	21458.63
120	21855.32
121	22255.61
122	22659.51
123	23067.01
124	23478.12
125	23892.82
126	24311.13
127	24733.04
128	25158.54
129	25587.65
130	26020.36
131	26456.66
132	26896.56
133	27340.06
134	27787.15
135	28237.84
136	28692.12
137	29149.99
138	29611.46
139	30076.53
140	30545.18
141	31017.43
142	31493.26
143	31972.69
144	32455.7
145	32942.31
146	33432.5
147	33926.28
148	34423.64
149	34924.6
150	35429.13
